algorithm,threads,n,k,rep,dtype,time
ParPermutation,24,30000000,27000000,5,i32,10178
Naive,24,30000000,27000000,6,i32,7387
SeqPriority,24,30000000,27000000,6,i32,211
ParPriority,24,30000000,27000000,6,i32,818
SeqPermutation,24,30000000,27000000,6,i32,175
FullPermutation,24,30000000,27000000,6,i32,10521
ParPermutation,24,30000000,27000000,6,i32,10178
Naive,24,30000000,27000000,7,i32,7195
SeqPriority,24,30000000,27000000,7,i32,141
ParPriority,24,30000000,27000000,7,i32,725
SeqPermutation,24,30000000,27000000,7,i32,172
FullPermutation,24,30000000,27000000,7,i32,10517
ParPermutation,24,30000000,27000000,7,i32,10127
Naive,24,30000000,27000000,8,i32,7389
SeqPriority,24,30000000,27000000,8,i32,164
ParPriority,24,30000000,27000000,8,i32,797
SeqPermutation,24,30000000,27000000,8,i32,176
FullPermutation,24,30000000,27000000,8,i32,10504
ParPermutation,24,30000000,27000000,8,i32,10165
Naive,24,30000000,27000000,9,i32,7410
SeqPriority,24,30000000,27000000,9,i32,214
ParPriority,24,30000000,27000000,9,i32,847
SeqPermutation,24,30000000,27000000,9,i32,173
FullPermutation,24,30000000,27000000,9,i32,10482
ParPermutation,24,30000000,27000000,9,i32,10181
