algorithm,threads,n,k,rep,dtype,time
ParPriority,12,30000000,15000000,6,i32,1756
SeqPermutation,12,30000000,15000000,6,i32,121
FullPermutation,12,30000000,15000000,6,i32,9515
ParPermutation,12,30000000,15000000,6,i32,5963
Naive,12,30000000,15000000,7,i32,4154
SeqPriority,12,30000000,15000000,7,i32,83
ParPriority,12,30000000,15000000,7,i32,1623
SeqPermutation,12,30000000,15000000,7,i32,121
FullPermutation,12,30000000,15000000,7,i32,9557
ParPermutation,12,30000000,15000000,7,i32,5968
Naive,12,30000000,15000000,8,i32,4253
SeqPriority,12,30000000,15000000,8,i32,96
ParPriority,12,30000000,15000000,8,i32,2250
SeqPermutation,12,30000000,15000000,8,i32,124
FullPermutation,12,30000000,15000000,8,i32,9559
ParPermutation,12,30000000,15000000,8,i32,5955
Naive,12,30000000,15000000,9,i32,4236
SeqPriority,12,30000000,15000000,9,i32,111
ParPriority,12,30000000,15000000,9,i32,1443
SeqPermutation,12,30000000,15000000,9,i32,121
FullPermutation,12,30000000,15000000,9,i32,9560
ParPermutation,12,30000000,15000000,9,i32,5957
Naive,12,30000000,15000000,10,i32,4233
SeqPriority,12,30000000,15000000,10,i32,143
ParPriority,12,30000000,15000000,10,i32,1926
SeqPermutation,12,30000000,15000000,10,i32,122
FullPermutation,12,30000000,15000000,10,i32,9592
ParPermutation,12,30000000,15000000,10,i32,5972
Naive,12,30000000,15000000,11,i32,4270
SeqPriority,12,30000000,15000000,11,i32,216
ParPriority,12,30000000,15000000,11,i32,2313
SeqPermutation,12,30000000,15000000,11,i32,122
FullPermutation,12,30000000,15000000,11,i32,9561
ParPermutation,12,30000000,15000000,11,i32,5938
Naive,12,30000000,15000000,12,i32,4094
SeqPriority,12,30000000,15000000,12,i32,82
ParPriority,12,30000000,15000000,12,i32,1315
SeqPermutation,12,30000000,15000000,12,i32,122
FullPermutation,12,30000000,15000000,12,i32,9562
ParPermutation,12,30000000,15000000,12,i32,5953
Naive,12,30000000,15000000,13,i32,4262
SeqPriority,12,30000000,15000000,13,i32,187
ParPriority,12,30000000,15000000,13,i32,1324
SeqPermutation,12,30000000,15000000,13,i32,121
FullPermutation,12,30000000,15000000,13,i32,9545
ParPermutation,12,30000000,15000000,13,i32,5971
Naive,12,30000000,15000000,14,i32,4277
SeqPriority,12,30000000,15000000,14,i32,104
ParPriority,12,30000000,15000000,14,i32,1658
SeqPermutation,12,30000000,15000000,14,i32,122
FullPermutation,12,30000000,15000000,14,i32,9555
ParPermutation,12,30000000,15000000,14,i32,5941
Naive,12,30000000,22500000,0,i32,5734
SeqPriority,12,30000000,22500000,0,i32,100
ParPriority,12,30000000,22500000,0,i32,1641
SeqPermutation,12,30000000,22500000,0,i32,160
FullPermutation,12,30000000,22500000,0,i32,9562
ParPermutation,12,30000000,22500000,0,i32,8472
Naive,12,30000000,22500000,1,i32,5756
SeqPriority,12,30000000,22500000,1,i32,82
ParPriority,12,30000000,22500000,1,i32,1931
SeqPermutation,12,30000000,22500000,1,i32,161
FullPermutation,12,30000000,22500000,1,i32,9542
ParPermutation,12,30000000,22500000,1,i32,8467
Naive,12,30000000,22500000,2,i32,5862
SeqPriority,12,30000000,22500000,2,i32,128
ParPriority,12,30000000,22500000,2,i32,1296
SeqPermutation,12,30000000,22500000,2,i32,164
FullPermutation,12,30000000,22500000,2,i32,9565
ParPermutation,12,30000000,22500000,2,i32,8507
Naive,12,30000000,22500000,3,i32,5712
SeqPriority,12,30000000,22500000,3,i32,96
ParPriority,12,30000000,22500000,3,i32,951
SeqPermutation,12,30000000,22500000,3,i32,163
FullPermutation,12,30000000,22500000,3,i32,9566
ParPermutation,12,30000000,22500000,3,i32,8445
Naive,12,30000000,22500000,4,i32,5803
SeqPriority,12,30000000,22500000,4,i32,114
ParPriority,12,30000000,22500000,4,i32,1595
SeqPermutation,12,30000000,22500000,4,i32,162
FullPermutation,12,30000000,22500000,4,i32,9562
ParPermutation,12,30000000,22500000,4,i32,8507
Naive,12,30000000,22500000,5,i32,5853
SeqPriority,12,30000000,22500000,5,i32,143
ParPriority,12,30000000,22500000,5,i32,1506
SeqPermutation,12,30000000,22500000,5,i32,163
FullPermutation,12,30000000,22500000,5,i32,9547
ParPermutation,12,30000000,22500000,5,i32,8482
Naive,12,30000000,22500000,6,i32,5909
SeqPriority,12,30000000,22500000,6,i32,157
ParPriority,12,30000000,22500000,6,i32,1163
SeqPermutation,12,30000000,22500000,6,i32,161
FullPermutation,12,30000000,22500000,6,i32,9560
ParPermutation,12,30000000,22500000,6,i32,8508
Naive,12,30000000,22500000,7,i32,5877
SeqPriority,12,30000000,22500000,7,i32,186
ParPriority,12,30000000,22500000,7,i32,1097
SeqPermutation,12,30000000,22500000,7,i32,160
FullPermutation,12,30000000,22500000,7,i32,9611
ParPermutation,12,30000000,22500000,7,i32,8521
Naive,12,30000000,22500000,8,i32,5794
SeqPriority,12,30000000,22500000,8,i32,148
ParPriority,12,30000000,22500000,8,i32,1310
SeqPermutation,12,30000000,22500000,8,i32,161
FullPermutation,12,30000000,22500000,8,i32,9610
ParPermutation,12,30000000,22500000,8,i32,8487
Naive,12,30000000,22500000,9,i32,5829
SeqPriority,12,30000000,22500000,9,i32,206
ParPriority,12,30000000,22500000,9,i32,1702
SeqPermutation,12,30000000,22500000,9,i32,162
FullPermutation,12,30000000,22500000,9,i32,9581
ParPermutation,12,30000000,22500000,9,i32,8514
Naive,12,30000000,22500000,10,i32,5791
SeqPriority,12,30000000,22500000,10,i32,208
ParPriority,12,30000000,22500000,10,i32,2181
SeqPermutation,12,30000000,22500000,10,i32,162
FullPermutation,12,30000000,22500000,10,i32,9585
ParPermutation,12,30000000,22500000,10,i32,8527
Naive,12,30000000,22500000,11,i32,5781
SeqPriority,12,30000000,22500000,11,i32,181
ParPriority,12,30000000,22500000,11,i32,1272
SeqPermutation,12,30000000,22500000,11,i32,160
FullPermutation,12,30000000,22500000,11,i32,9595
ParPermutation,12,30000000,22500000,11,i32,8499
Naive,12,30000000,22500000,12,i32,5759
SeqPriority,12,30000000,22500000,12,i32,131
ParPriority,12,30000000,22500000,12,i32,1388
SeqPermutation,12,30000000,22500000,12,i32,160
FullPermutation,12,30000000,22500000,12,i32,9595
ParPermutation,12,30000000,22500000,12,i32,8491
Naive,12,30000000,22500000,13,i32,5844
SeqPriority,12,30000000,22500000,13,i32,183
