algorithm,threads,n,k,rep,dtype,time
SeqPermutation,24,30000000,7500000,11,i32,85
FullPermutation,24,30000000,7500000,11,i32,10539
ParPermutation,24,30000000,7500000,11,i32,3157
Naive,24,30000000,7500000,12,i32,2772
SeqPriority,24,30000000,7500000,12,i32,157
ParPriority,24,30000000,7500000,12,i32,670
SeqPermutation,24,30000000,7500000,12,i32,88
FullPermutation,24,30000000,7500000,12,i32,10525
ParPermutation,24,30000000,7500000,12,i32,3135
Naive,24,30000000,7500000,13,i32,2779
SeqPriority,24,30000000,7500000,13,i32,93
ParPriority,24,30000000,7500000,13,i32,1374
SeqPermutation,24,30000000,7500000,13,i32,85
FullPermutation,24,30000000,7500000,13,i32,10519
ParPermutation,24,30000000,7500000,13,i32,3155
Naive,24,30000000,7500000,14,i32,2729
SeqPriority,24,30000000,7500000,14,i32,122
ParPriority,24,30000000,7500000,14,i32,745
SeqPermutation,24,30000000,7500000,14,i32,84
FullPermutation,24,30000000,7500000,14,i32,10525
ParPermutation,24,30000000,7500000,14,i32,3136
Naive,24,30000000,15000000,0,i32,4164
SeqPriority,24,30000000,15000000,0,i32,211
ParPriority,24,30000000,15000000,0,i32,1080
SeqPermutation,24,30000000,15000000,0,i32,132
FullPermutation,24,30000000,15000000,0,i32,10505
ParPermutation,24,30000000,15000000,0,i32,6342
Naive,24,30000000,15000000,1,i32,4141
SeqPriority,24,30000000,15000000,1,i32,95
ParPriority,24,30000000,15000000,1,i32,1006
SeqPermutation,24,30000000,15000000,1,i32,135
FullPermutation,24,30000000,15000000,1,i32,10558
ParPermutation,24,30000000,15000000,1,i32,6332
Naive,24,30000000,15000000,2,i32,4151
SeqPriority,24,30000000,15000000,2,i32,79
ParPriority,24,30000000,15000000,2,i32,1010
SeqPermutation,24,30000000,15000000,2,i32,134
FullPermutation,24,30000000,15000000,2,i32,10488
ParPermutation,24,30000000,15000000,2,i32,6366
Naive,24,30000000,15000000,3,i32,4289
SeqPriority,24,30000000,15000000,3,i32,158
ParPriority,24,30000000,15000000,3,i32,1055
SeqPermutation,24,30000000,15000000,3,i32,135
FullPermutation,24,30000000,15000000,3,i32,10485
ParPermutation,24,30000000,15000000,3,i32,6324
Naive,24,30000000,15000000,4,i32,4114
SeqPriority,24,30000000,15000000,4,i32,121
ParPriority,24,30000000,15000000,4,i32,1675
SeqPermutation,24,30000000,15000000,4,i32,133
FullPermutation,24,30000000,15000000,4,i32,10526
ParPermutation,24,30000000,15000000,4,i32,6390
Naive,24,30000000,15000000,5,i32,4108
SeqPriority,24,30000000,15000000,5,i32,207
ParPriority,24,30000000,15000000,5,i32,913
SeqPermutation,24,30000000,15000000,5,i32,133
FullPermutation,24,30000000,15000000,5,i32,10524
ParPermutation,24,30000000,15000000,5,i32,6355
Naive,24,30000000,15000000,6,i32,4102
SeqPriority,24,30000000,15000000,6,i32,165
ParPriority,24,30000000,15000000,6,i32,1052
SeqPermutation,24,30000000,15000000,6,i32,132
FullPermutation,24,30000000,15000000,6,i32,10528
ParPermutation,24,30000000,15000000,6,i32,6360
Naive,24,30000000,15000000,7,i32,4302
SeqPriority,24,30000000,15000000,7,i32,204
ParPriority,24,30000000,15000000,7,i32,1164
SeqPermutation,24,30000000,15000000,7,i32,134
FullPermutation,24,30000000,15000000,7,i32,10526
ParPermutation,24,30000000,15000000,7,i32,6331
Naive,24,30000000,15000000,8,i32,4143
SeqPriority,24,30000000,15000000,8,i32,91
ParPriority,24,30000000,15000000,8,i32,1017
SeqPermutation,24,30000000,15000000,8,i32,134
FullPermutation,24,30000000,15000000,8,i32,10532
ParPermutation,24,30000000,15000000,8,i32,6362
Naive,24,30000000,15000000,9,i32,4274
SeqPriority,24,30000000,15000000,9,i32,95
ParPriority,24,30000000,15000000,9,i32,970
SeqPermutation,24,30000000,15000000,9,i32,132
FullPermutation,24,30000000,15000000,9,i32,10518
ParPermutation,24,30000000,15000000,9,i32,6342
Naive,24,30000000,15000000,10,i32,4216
SeqPriority,24,30000000,15000000,10,i32,132
ParPriority,24,30000000,15000000,10,i32,884
SeqPermutation,24,30000000,15000000,10,i32,134
FullPermutation,24,30000000,15000000,10,i32,10551
ParPermutation,24,30000000,15000000,10,i32,6365
Naive,24,30000000,15000000,11,i32,4248
SeqPriority,24,30000000,15000000,11,i32,223
ParPriority,24,30000000,15000000,11,i32,1373
SeqPermutation,24,30000000,15000000,11,i32,134
FullPermutation,24,30000000,15000000,11,i32,10505
ParPermutation,24,30000000,15000000,11,i32,6384
Naive,24,30000000,15000000,12,i32,4264
SeqPriority,24,30000000,15000000,12,i32,227
ParPriority,24,30000000,15000000,12,i32,994
SeqPermutation,24,30000000,15000000,12,i32,133
FullPermutation,24,30000000,15000000,12,i32,10530
ParPermutation,24,30000000,15000000,12,i32,6346
Naive,24,30000000,15000000,13,i32,4179
SeqPriority,24,30000000,15000000,13,i32,137
ParPriority,24,30000000,15000000,13,i32,997
SeqPermutation,24,30000000,15000000,13,i32,133
FullPermutation,24,30000000,15000000,13,i32,10519
ParPermutation,24,30000000,15000000,13,i32,6331
Naive,24,30000000,15000000,14,i32,4203
SeqPriority,24,30000000,15000000,14,i32,211
ParPriority,24,30000000,15000000,14,i32,1861
SeqPermutation,24,30000000,15000000,14,i32,132
FullPermutation,24,30000000,15000000,14,i32,10470
ParPermutation,24,30000000,15000000,14,i32,6363
Naive,24,30000000,22500000,0,i32,5773
SeqPriority,24,30000000,22500000,0,i32,126
ParPriority,24,30000000,22500000,0,i32,1164
SeqPermutation,24,30000000,22500000,0,i32,157
FullPermutation,24,30000000,22500000,0,i32,10513
ParPermutation,24,30000000,22500000,0,i32,9068
Naive,24,30000000,22500000,1,i32,5658
SeqPriority,24,30000000,22500000,1,i32,182
ParPriority,24,30000000,22500000,1,i32,1122
SeqPermutation,24,30000000,22500000,1,i32,158
FullPermutation,24,30000000,22500000,1,i32,10494
ParPermutation,24,30000000,22500000,1,i32,9073
Naive,24,30000000,22500000,2,i32,5872
SeqPriority,24,30000000,22500000,2,i32,188
ParPriority,24,30000000,22500000,2,i32,1259
SeqPermutation,24,30000000,22500000,2,i32,158
FullPermutation,24,30000000,22500000,2,i32,10495
ParPermutation,24,30000000,22500000,2,i32,9078
Naive,24,30000000,22500000,3,i32,5860
