algo,k,num_threads,time
SeqPermutationFull,250000,1,12060
SeqPermutationFull,500000,1,12074
SeqPermutationFull,500000,1,11658
SeqPermutationFull,500000,1,11659
SeqPermutationFull,750000,1,12048
SeqPermutationFull,750000,1,12069
SeqPermutationFull,750000,1,11677
SeqPermutationFull,1000000,1,12048
SeqPermutationFull,1000000,1,12056
SeqPermutationFull,1000000,1,12074
SeqPermutationFull,2500000,1,11825
SeqPermutationFull,2500000,1,11827
SeqPermutationFull,2500000,1,11832
SeqPermutationFull,5000000,1,11821
SeqPermutationFull,5000000,1,11861
SeqPermutationFull,5000000,1,11836
SeqPermutationFull,7500000,1,11834
SeqPermutationFull,7500000,1,11831
SeqPermutationFull,7500000,1,11827
SeqPermutationFull,10000000,1,12103
SeqPermutationFull,10000000,1,12080
SeqPermutationFull,10000000,1,12070
SeqPermutationFull,25000000,1,12102
SeqPermutationFull,25000000,1,12075
SeqPermutationFull,25000000,1,12104
SeqPermutationFull,50000000,1,12107
SeqPermutationFull,50000000,1,12135
SeqPermutationFull,50000000,1,11659
ParPermutation,25000,1,2810
ParPermutation,25000,1,2805
ParPermutation,25000,1,2808
ParPermutation,50000,1,2802
ParPermutation,50000,1,2806
ParPermutation,50000,1,2802
ParPermutation,75000,1,2813
ParPermutation,75000,1,2808
ParPermutation,75000,1,2804
ParPermutation,100000,1,2803
ParPermutation,100000,1,2809
ParPermutation,100000,1,2809
ParPermutation,250000,1,2810
ParPermutation,250000,1,2821
ParPermutation,250000,1,2822
ParPermutation,500000,1,2825
ParPermutation,500000,1,2828
ParPermutation,500000,1,2828
ParPermutation,750000,1,2844
ParPermutation,750000,1,2842
ParPermutation,750000,1,2844
ParPermutation,1000000,1,2852
ParPermutation,1000000,1,2851
ParPermutation,1000000,1,2863
ParPermutation,2500000,1,2942
ParPermutation,2500000,1,2947
ParPermutation,2500000,1,2947
ParPermutation,5000000,1,3086
ParPermutation,5000000,1,3091
ParPermutation,5000000,1,3089
ParPermutation,7500000,1,3226
ParPermutation,7500000,1,3221
ParPermutation,7500000,1,3239
ParPermutation,10000000,1,3386
ParPermutation,10000000,1,3383
