algorithm,threads,n,k,rep,dtype,time
SeqPriority,1,30000000,22500000,10,i32,114
ParPriority,1,30000000,22500000,10,i32,14730
SeqPermutation,1,30000000,22500000,10,i32,440
FullPermutation,1,30000000,22500000,10,i32,17950
ParPermutation,1,30000000,22500000,10,i32,15976
Naive,1,30000000,22500000,11,i32,5839
SeqPriority,1,30000000,22500000,11,i32,129
ParPriority,1,30000000,22500000,11,i32,16761
SeqPermutation,1,30000000,22500000,11,i32,439
FullPermutation,1,30000000,22500000,11,i32,17994
ParPermutation,1,30000000,22500000,11,i32,15875
Naive,1,30000000,22500000,12,i32,5942
SeqPriority,1,30000000,22500000,12,i32,140
ParPriority,1,30000000,22500000,12,i32,12145
SeqPermutation,1,30000000,22500000,12,i32,439
FullPermutation,1,30000000,22500000,12,i32,17927
ParPermutation,1,30000000,22500000,12,i32,15806
Naive,1,30000000,22500000,13,i32,5874
SeqPriority,1,30000000,22500000,13,i32,110
ParPriority,1,30000000,22500000,13,i32,10067
SeqPermutation,1,30000000,22500000,13,i32,437
FullPermutation,1,30000000,22500000,13,i32,17789
ParPermutation,1,30000000,22500000,13,i32,15838
Naive,1,30000000,22500000,14,i32,5856
SeqPriority,1,30000000,22500000,14,i32,159
ParPriority,1,30000000,22500000,14,i32,10991
SeqPermutation,1,30000000,22500000,14,i32,441
FullPermutation,1,30000000,22500000,14,i32,17945
ParPermutation,1,30000000,22500000,14,i32,15825
Naive,1,30000000,27000000,0,i32,7460
SeqPriority,1,30000000,27000000,0,i32,175
ParPriority,1,30000000,27000000,0,i32,25751
SeqPermutation,1,30000000,27000000,0,i32,447
FullPermutation,1,30000000,27000000,0,i32,17987
ParPermutation,1,30000000,27000000,0,i32,17812
Naive,1,30000000,27000000,1,i32,7302
SeqPriority,1,30000000,27000000,1,i32,164
ParPriority,1,30000000,27000000,1,i32,11787
SeqPermutation,1,30000000,27000000,1,i32,448
FullPermutation,1,30000000,27000000,1,i32,17975
ParPermutation,1,30000000,27000000,1,i32,17825
Naive,1,30000000,27000000,2,i32,7416
SeqPriority,1,30000000,27000000,2,i32,230
ParPriority,1,30000000,27000000,2,i32,12738
SeqPermutation,1,30000000,27000000,2,i32,448
FullPermutation,1,30000000,27000000,2,i32,17949
ParPermutation,1,30000000,27000000,2,i32,17821
Naive,1,30000000,27000000,3,i32,7377
SeqPriority,1,30000000,27000000,3,i32,119
