algorithm,threads,n,k,rep,dtype,time(mu)
SeqPermutation,1,20000000,10000000,6,i32,263085
FullPermutation,1,20000000,10000000,6,i32,11036999
ParPermutation,1,20000000,10000000,6,i32,6707245
Naive,1,20000000,10000000,7,i32,2340100
SeqPriority,1,20000000,10000000,7,i32,93299
ParPriority,1,20000000,10000000,7,i32,10322808
SeqPermutation,1,20000000,10000000,7,i32,263426
FullPermutation,1,20000000,10000000,7,i32,11145742
ParPermutation,1,20000000,10000000,7,i32,6880403
Naive,1,20000000,10000000,8,i32,2339730
SeqPriority,1,20000000,10000000,8,i32,114718
ParPriority,1,20000000,10000000,8,i32,12955723
SeqPermutation,1,20000000,10000000,8,i32,265823
FullPermutation,1,20000000,10000000,8,i32,11145929
ParPermutation,1,20000000,10000000,8,i32,6875904
Naive,1,20000000,10000000,9,i32,2343267
SeqPriority,1,20000000,10000000,9,i32,109392
ParPriority,1,20000000,10000000,9,i32,11568377
SeqPermutation,1,20000000,10000000,9,i32,269368
FullPermutation,1,20000000,10000000,9,i32,11117079
ParPermutation,1,20000000,10000000,9,i32,6834498
Naive,1,20000000,15000000,0,i32,3288645
SeqPriority,1,20000000,15000000,0,i32,123233
ParPriority,1,20000000,15000000,0,i32,13153348
SeqPermutation,1,20000000,15000000,0,i32,278718
FullPermutation,1,20000000,15000000,0,i32,11141728
ParPermutation,1,20000000,15000000,0,i32,9927411
Naive,1,20000000,15000000,1,i32,3356218
SeqPriority,1,20000000,15000000,1,i32,127374
ParPriority,1,20000000,15000000,1,i32,9757074
SeqPermutation,1,20000000,15000000,1,i32,275716
FullPermutation,1,20000000,15000000,1,i32,11115935
ParPermutation,1,20000000,15000000,1,i32,9677123
Naive,1,20000000,15000000,2,i32,3324835
SeqPriority,1,20000000,15000000,2,i32,136438
ParPriority,1,20000000,15000000,2,i32,7353698
SeqPermutation,1,20000000,15000000,2,i32,276488
FullPermutation,1,20000000,15000000,2,i32,10856935
ParPermutation,1,20000000,15000000,2,i32,9660105
Naive,1,20000000,15000000,3,i32,3359879
SeqPriority,1,20000000,15000000,3,i32,131834
